ID,駅名,問題文,選択肢A,選択肢B,選択肢C,正解
31,米沢,「米沢牛」で有名な米沢市. ステーキなどで食べる牛肉の部位「サーロイン」はどこの肉かな？,あばら骨の周辺部分,後ろ脚の太もも部分,背中から腰にかけての部分,C. 背中から腰にかけての部分
32,山形,山形で有名な蔵王温泉ができたのは約何年前と言われている？,約800年前,約1900年前,約20000年前,B. 約1900年前
33,天童,天童は将棋の駒の生産地。将棋の駒「歩兵」の裏に書いてある文字は？,金,と,な,B. と
34,さくらんぼ東根,さくらんぼの正式名称はどれだ？,赤桃,桜桃,薔薇桃,B. 桜桃
35,村山,村山駅近くの最上川を下る遊覧船「最上川三難所舟下り」は12kmを50分で下る。時速何km/時？,14.4km/時,18.3km/時,23.2km/時,A. 14.4km/時
36,大石田,この地域では「尾花沢スイカ」が有名。スイカと同じウリ科の野菜は？,トマト,きゅうり,なす,B. きゅうり
37,新庄,日本棚田百選に選ばれている四ヶ村の棚田が有名！さて「棚田」とは何かな？,山の斜面や谷間に階段状に作られた田んぼ,海沿いに作られた田んぼ,上から見ると棚のように見える田んぼ,A. 山の斜面や谷間に階段状に作られた田んぼ
38,郡山,福島県が誇る日本三代ラーメンのうちの一つはどれ？,札幌ラーメン,博多ラーメン,喜多方ラーメン,C. 喜多方ラーメン
39,新白河,白河市にある1801年に築造した日本最古とされる公園はどれだ？,花見山公園,上野恩寵公園,南湖公園,C. 南湖公園
40,那須塩原,約1200年の歴史を有する「塩原温泉郷」。何種類の泉質の温泉が沸いている？,6種類,12種類,53種類,A. 6種類
41,宇都宮,宇都宮餃子で有名な宇都宮市！2024年の宇都宮市の1世帯あたりの餃子購入額は全国で何位？,1位,2位,3位,C. 3位
42,小山,小山祇園祭で使用される大みこしはとある要素が日本一。それは何かな？,みこしの重さが日本一,みこしを担いで歩く道の長さが日本一,みこしの大きさが日本一,A. みこしの重さが日本一
43,大宮,"大宮にはJR東日本創立20周年を記念した「鉄道博物館」がある。さて, JRグループは全部で何社で構成されている？",3社,7社,10社,B. 7社
44,高崎,高崎市のランドマークである白衣大観音は重さ6000t！さて、6000tは60gの何倍？,1千倍,1万倍,1億倍,C. 一億倍
45,上毛高原,上毛高原近くの土合駅はトンネルにつながってることから別名何と呼ばれているか？,日本一のモグラ駅,JRの地下迷宮,トンネルターミナル,A. 日本一のモグラ駅
46,越後湯沢,越後湯沢にはアウトドアの名所「大源太キャニオン」がある。さて、「キャニオン」の意味は？,山,谷,タマネギ,B. 谷
47,浦佐,浦佐駅のある魚沼地域のブランド米の名前はどれだ？,ササニシキ,コシヒカリ,ゆめぴりか,B. コシヒカリ
48,長岡,長岡まつり大花火大会で有名な長岡。花火玉の大きさの単位は「寸」だけど、1寸は約何cm？,約3.03cm,約8.14cm,約15cm,A. 約3.03cm
49,燕三条,燕市は金属加工で有名だけど、日本で売られている金属洋食器の約何%が燕市産？,約30%,約60%,約90%,C. 約90%
50,新潟,新潟の大型水族館「マリンピア日本海」には約何種類の水生生物がいるかな？,600種類,1000種類,2300種類,A. 600種類
51,安中榛名,富岡製糸場は世界文化遺産に登録されている製糸工場。さて糸は何からできている？,クモが作る糸,カイコが作る糸,木を加工して作成,B. カイコが作る糸
52,軽井沢,軽井沢の白糸の滝は高さ約3m、幅約70m。さてこの滝の面積は？,$210m^2$,$73m^2$,$21a$,A. $210m^2$
53,佐久平,佐久高原には佐久市の「市の花」が約10万株植えられている。さて佐久市の「市の花」はどれだ？,パンジー,ラベンダー,コスモス,C. コスモス
54,上越妙高,妙高高原にはとある生物の名前がついた○○池という池があるよ。○○に入る生物名はどれだ？,トカゲ,ヤモリ,イモリ,C. イモリ
55,上田,長野県が収穫量日本一のとあるキノコ。上田市はその産地！さて、そのキノコはどれ？,マツタケ,シメジ,マイタケ,A. マツタケ
56,糸魚川,「糸魚川」は何と読む？,いとながわ,いといがわ,しおがわ,B. いといがわ
57,長野,日本三大そばの一つである長野の戸隠そば。それを作る過程で出る、そばの実の甘皮を剥かずに挽いたものを何という？,挽き実,挽きぐるみ,挽きかす,B. 挽きぐるみ
58,黒部宇奈月温泉,宇奈月温泉は約7kmの引湯管を使った引湯である。これにより生じる特徴はなんだ？,ミネラル豊富,透明度が高い,温度が高い,B. 透明度が高い
59,飯山,長野県北部の野尻湖から多く出土する化石な何の化石かな？,アンモナイト,ティラノサウルス,ナウマンゾウ,C. ナウマンゾウ
60,富山,富山県のご当地グルメ「富山ブラック」とは何の料理？,スープが真っ黒なラーメン,中身が真っ黒な餃子,汁が真っ黒な海鮮鍋,A. スープが真っ黒なラーメン
61,新高岡,国民的アニメ・漫画の「ドラえもん」の作者は高岡市出身！その作者名はどれだ？,藤子・F・不二雄,手塚治虫,藤子不二雄A,A. 藤子・F・不二雄
62,金沢,金沢にある日本三大名園の一つである庭園はどれだ？,偕楽園,兼六園,後楽園,B. 兼六園
63,小松,小松市のご当地料理「小松うどん」を定義する八か条に存在しない定義はどれか？,小松市内で製造された麺であるべし,小松市内の野菜を使うべし,小松の発展を願い茹で上げるべし,B. 小松市内の野菜を使うべし
64,加賀温泉,加賀温泉の近くには焼き物体験場所の「うつわ工房」がある。さて、石川県の焼き物である伝統工芸品はどれ？,有田焼,南部鉄器,九谷焼,C. 九谷焼
65,福井,福井県は日本で一番「あるもの」の化石が見つかる場所だよ。何かな？,マンモス,恐竜,三葉虫,B. 恐竜
66,芦原温泉,芦原（あわら）温泉駅には、駅の中に「あるお風呂」があるよ。何風呂？,水風呂,足湯（あしゆ）,電気風呂,B. 足湯（あしゆ）
67,越前たけふ,越前市は、切れ味の鋭い「ある道具」作りが有名だよ。何かな？,包丁（刃物）,ハサミ,ノコギリ,A. 包丁（刃物）
68,敦賀,敦賀（つるが）は海が近い港町。昔から名産品として有名な海の生き物は？,昆布（こんぶ）,マグロ,カニ,A. 昆布（こんぶ）
69,京都,京都には有名な「金閣寺」があるけど、屋根の上にのっている鳥はなに？,ハト,スズメ,鳳凰（ほうおう）,C. 鳳凰（ほうおう）
70,新大阪,大阪の人は「食い倒れ」と言われるほど食べるのが好き。大阪名物の丸い食べ物は？,ハンバーガー,たこ焼き,ドーナツ,B. たこ焼き
71,新神戸,神戸は坂道が多い街。山の上まで登れる乗り物があるよ。何かな？,ロープウェー,地下鉄,船,A. ロープウェー
72,西明石,西明石がある明石市は、日本の「時間」を決める基準の場所。ここを通る線の名前は？,赤道,子午線（しごせん）,地平線,B. 子午線（しごせん）
73,姫路,姫路城はその白くて美しい姿から、ある鳥の名前で呼ばれているよ。何城？,白鳥城,白鷲城（しらさぎじょう）,白鶴城,B. 白鷲城（しらさぎじょう）
74,相生,相生（あいおい）では、5月に細長い船を使ったレースのお祭りがあるよ。何祭り？,ペーロン祭,ドラゴン祭,ボート祭,A. ペーロン祭
75,岡山,岡山県は昔話「桃太郎」で有名。桃太郎が腰につけていたのは？,おにぎり,きび団子,剣,B. きび団子
76,新倉敷,倉敷（くらしき）の美観地区は、昔ながらの建物が残っているよ。壁は何色？,黒,赤,白,C. 白
77,福山,福山市は「100万本の〇〇のまち」と言われているよ。何の花？,チューリップ,バラ,ひまわり,B. バラ
78,新尾道,尾道（おのみち）は坂と路地の街。ある動物がたくさんいることでも有名だよ。何かな？,猫,犬,タヌキ,A. 猫
79,三原,三原市は「タコ」が有名。タコを使った駅弁が人気だけど、どんなお弁当？,タコライス,たこ飯,タコ焼き弁当,B. たこ飯
80,東広島,東広島市の西条（さいじょう）は、美味しい「お水」を使って何を作っている？,ジュース,お酒（日本酒）,醤油,B. お酒（日本酒）
81,広島,広島湾に浮かぶ宮島。海の中に立っている赤い建物は何？,お城,塔,鳥居（とりい）,C. 鳥居（とりい）
82,新岩国,岩国にある「錦帯橋（きんたいきょう）」は木でできた珍しい橋。どんな形？,5つのアーチ型,まっすぐ,丸い円型,A. 5つのアーチ型
83,徳山,徳山駅の近くには動物園があるよ。昔、頭を抱えるポーズで人気者だった動物は？,パンダ,コアラ,マレーグマ,C. マレーグマ
84,新山口,新山口駅からは、黒い煙を出して走る昔ながらの列車に乗れるよ。何かな？,新幹線,路面電車,蒸気機関車（SL）,C. 蒸気機関車（SL）
85,厚狭,厚狭（あさ）駅には、寝てばかりいたけど最後に村を救った「寝太郎」の像があるよ。何寝太郎？,三年寝太郎,十年寝太郎,一年寝太郎,A. 三年寝太郎
86,新下関,下関は「ふぐ」が有名。地元では縁起が良いように何と呼ぶ？,ふく（福）,てつ,まんぼう,A. ふく（福）
87,武雄温泉,武雄（たけお）温泉の入り口にある赤い門（楼門）。これには釘（くぎ）が何本使われている？,100本,1000本,1本も使っていない,C. 1本も使っていない
88,小倉,小倉（こくら）駅は、駅のビルの中を突き抜けるようにある乗り物が走っているよ。何？,ジェットコースター,モノレール,バス,B. モノレール
89,嬉野温泉,嬉野（うれしの）の名物はお茶と、温泉の水で煮込んだ豆腐。何豆腐？,温泉湯豆腐,冷奴,揚げ出し豆腐,A. 温泉湯豆腐
90,博多,博多のお祭り「博多どんたく」で、みんなが手に持って打ち鳴らす道具は？,スプーン,しゃもじ,扇子,B. しゃもじ
91,新大村,大村湾に浮かぶ長崎空港。この空港へ渡る橋の入り口にある公園には大きな鐘があるよ。何色の鐘？,金色,紫色,虹色,B. 紫色
92,新鳥栖,この駅は九州の交通の要所。ここにあるサッカースタジアムをホームにするチームは？,サガン鳥栖,アビスパ福岡,大分トリニータ,A. サガン鳥栖
93,諫早,諫早（いさはや）にある石の橋「眼鏡橋」。日本で一番最初に国の重要文化財になったよ。形は何に似てる？,メガネ,リボン,ドーナツ,A. メガネ
94,長崎,長崎の夜景はとてもきれい。世界〇大夜景の一つに選ばれたこともあるよ。〇に入るのは？,世界三大夜景,世界十大夜景,世界百大夜景,C. 世界三大夜景
95,久留米,久留米市は、みんなが知っている「タイヤ」の会社が生まれた場所だよ。何という会社？,ブリヂストン,トヨタ,ホンダ,A. ブリヂストン
96,筑後船子屋,この駅の周りには大きな公園があるよ。その公園の名前は？,県営筑後広域公園,大濠公園,平和公園,A. 県営筑後広域公園
97,新大牟田,大牟田市では昔、燃える石がたくさん掘れたよ。何という石？,ダイヤモンド,石炭（黒いダイヤ）,金,B. 石炭（黒いダイヤ）
98,新玉名,玉名市にある蓮華院誕生寺には、世界一大きな「あるもの」があるよ。何かな？,大仏,梵鐘（ぼんしょう：大きな鐘）,五重塔,B. 梵鐘（ぼんしょう：大きな鐘）
99,熊本,熊本城を建てた有名な武将は誰？,織田信長,豊臣秀吉,加藤清正,C. 加藤清正
100,新八代,八代市は畳（たたみ）の材料「イグサ」の生産が日本一。全国の何割を作っている？,約1割,約5割,約9割,C. 約9割
101,新水俣,水俣市は環境を大切にする街。ゴミを細かく分けてリサイクルしているけど、何種類に分けている？,3種類,10種類,20種類以上,C. 20種類以上
102,出水,出水（いずみ）市には、冬になると１万羽以上の「ある鳥」が飛んでくるよ。何かな？,ハト,ツル,ペンギン,B. ツル
103,川内,川内（せんだい）駅のある薩摩川内市には、西郷隆盛も愛した有名な温泉があるよ。何温泉？,川内高城温泉,指宿温泉,別府温泉,A. 川内高城温泉
104,鹿児島中央,鹿児島の名物「白熊（しろくま）」。これはどんな食べ物？,白いカレー,かき氷,お餅,B. かき氷
105,松山,松山にある「道後温泉」は日本で一番古い温泉と言われているよ。この温泉が登場する小説は？,吾輩は猫である,坊っちゃん,銀河鉄道の夜,B. 坊っちゃん
106,高知,高知県の有名な幕末の志士「坂本龍馬」。彼が持っていたとされる武器は？,ピストル,弓矢,手裏剣,A. ピストル
107,高松,香川県はうどんが有名で「うどん県」と呼ばれるけど、高松城は別名何と呼ばれている？,うどん城,玉藻城（たまもじょう）,黒城,B. 玉藻城（たまもじょう）
108,徳島,徳島県といえば「阿波おどり」。踊るときのかけ声は？,ワッショイワッショイ,エライヤッチャ,ドッコイショ,B. エライヤッチャ
109,和歌山,和歌山県は「みかん」が有名。みかんの皮を剥くと出てくる白い筋の名前は？,アルベド,スジスジ,ホワイトライン,A. アルベド
110,米原,米原駅の近くにある、日本で一番大きな湖は？,浜名湖,琵琶湖,霞ヶ浦,B. 琵琶湖
111,岐阜羽島,この駅前には太陽の光で電気を作る、巨大な箱舟の形をした建物があるよ。名前は？,ソーラーアーク,サンシャイン,光の箱,A. ソーラーアーク
112,名古屋,名古屋城の屋根に乗っている、金色の生き物は？,金のしゃちほこ,金の龍,金のハト,A. 金のしゃちほこ
113,三河安城,三河安城駅のある安城市は、ある国の農業を真似したことから「日本の〇〇」と呼ばれたよ。どこの国？,アメリカ,デンマーク,中国,B. デンマーク
114,豊橋,豊橋名物「ちくわ」。ちくわの真ん中に穴が開いているのはなぜ？,竹の棒に巻いて焼いたから,息を吹き込んだから,虫が食べたから,A. 竹の棒に巻いて焼いたから
115,浜松,浜松は「楽器の街」として有名。浜松に本社がある有名なピアノの会社は？,ヤマハ,ソニー,トヨタ,A. ヤマハ
116,掛川,掛川はお茶の産地として有名。お茶の葉に含まれる、風邪予防に良い成分は？,カテキン,ビタミンC,カルシウム,A. カテキン
117,静岡,静岡といえばプラモデル！日本で作られるプラモデルの約何割が静岡県で作られている？,約1割,約5割,約8割以上,C. 約8割以上
118,新富士,富士山に一番近い新幹線の駅。富士山の高さは何メートル？,333m,3776m,8848m,B. 3776m
119,三島,三島にある「三島スカイウォーク」は日本一長い何？,すべり台,歩行者専用吊り橋,トンネル,B. 歩行者専用吊り橋
120,熱海,熱海では1年を通して何度も開催される、夜空を彩るイベントがあるよ。何かな？,花火大会,イルミネーション,盆踊り,A. 花火大会
121,小田原,小田原城は戦国時代、とても強くて攻めにくいお城だったことから何と呼ばれた？,難攻不落（なんこうふらく）の城,黄金の城,天空の城,A. 難攻不落（なんこうふらく）の城
122,新横浜,新横浜駅の近くには、大きなイベントが行われる「横浜アリーナ」があるよ。横浜名物の「シウマイ」で有名な会社は？,崎陽軒（きようけん）,蓬莱（ほうらい）,味の素,A. 崎陽軒（きようけん）
123,品川,品川駅は昔、海に面していたよ。品川駅の近くにあった、東海道の最初の宿場町は？,新宿,品川宿,川崎宿,B. 品川宿
124,東京,東京タワーの高さは333m。では、東京スカイツリーの高さは？,888m,555m,634m,C. 634m
